NUMERO;LAM_NUMERO;TSA_NIMI;NIMI_FI;lat;lon;
23402;402;L_st130_Jutikkala;Tie 130 Iittala;61.1496611872;24.0568131268;
23433;433;L_st130_Pispantie;Tie 130 Valkeakoski;61.285625313;23.955488327;
23422;422;L_st190_Viiala;Tie 190 Viiala;61.2383904408;23.7402087595;
23464;464;L_yt3495_Rautaharkko;Tie 3495 Rautaharkko;61.4772945373;23.7743078262;
23436;436;L_yt13782_Nokia_Rajasalmi;Tie 13782 Nokia, Rajasalmi;61.478380169;23.5869415884;
23443;443;L_Tre_Pispalan_valtatie;Tampere, Pispalan valtatie;61.5061546184;23.7011155898;
23424;424;L_vt4_Renkomäki;Tie 4 Renkomäki;60.9070872361;25.6105144899;
23461;461;L_vt4_Vierumäki;Tie 4 Vierumäki;61.0985078663;25.9056600259;
23628;628;L_vt4_Murhamäki;Tie 4 Heinola, Murhamäki;61.276963267;26.0703749844;
23442;442;L_vt4_Heinola_Lusi;Tie 4 Heinola, Lusi;61.3366076258;26.0474149692;
23623;623;L_vt4_Hartola;Tie 4 Hartola;61.4912532393;25.9802435978;
23407;407;L_vt12_Hollola;Tie 12 Hollola;61.0036918747;25.2826529889;
23446;446;L_vt12_Lahti_Kärpäsen;Tie 12 Lahti, Kärpäsenmäki;60.9813120311;25.5950407773;
23447;447;L_vt12_Lahti_Joutjärvi;Tie 12 Lahti, Joutjärvi;60.973424094;25.6983949295;
23430;430;L_vt24_Asikkala;Tie 24 Asikkala;61.1260144558;25.6346437065;
23441;441;L_st140_Hollola;Tie 140 Hollola;61.0380924612;25.7458987805;
23521;521;L_vt6_Elimäki;Tie 6 Elimäki;60.7761999502;26.4848120145;
23594;594;L_vt6_Hevossuo;Tie 6 Hevossuo;60.8392130857;26.5480576793;
23595;595;L_vt6_Puhjo;Tie 6 Kuusankoski, Puhjo;60.8718427724;26.6313859114;
23596;596;L_vt6_Käyrälampi;Tie 6 Kouvola, Käyrälampi;60.8836578928;26.7579372795;
23529;529;L_vt6_Utti;Tie 6 Utti;60.886456789;26.8193767808;
23592;592;L_vt6_Metso;Tie 6 Metso;60.9057640682;27.0022121451;
23578;578;L_vt7_Ahvenkoski_Itä;Tie 7 Ahvenkoski2;60.490018843;26.4604401662;
23575;575;L_vt7_Pyhtää2;Tie 7 Pyhtää2;60.4862362842;26.5466444745;
23579;579;L_vt7_Siltakylä2;Tie 7 Pyhtää, Siltakylä2;60.5000066436;26.7018407983;
23580;580;L_vt7_Mokra;Tie 7 Pyhtää, Mokra;60.5009513726;26.8112036906;
23583;583;L_vt7_Petäjäsuo;Tie 7 Petäjäsuo;60.4973791213;26.8553103663;
23599;599;L_vt7_Leppäsaari;Tie 7 Leppäsaari;60.5008627879;26.8827285882;
23574;574;L_vt7_Kyminlinna;Tie 7 Kyminlinna;60.5050627447;26.9025403581;
23576;576;L_vt7_Karhula_Länsi;Tie 7 Kotka, Karhula-Länsi;60.5142814621;26.9271167117;
23577;577;L_vt7_Otsola_Länsi;Tie 7 Kotka, Otsola-Länsi;60.5264326178;26.9545265315;
23572;572;L_vt7_Salminlahti;Tie 7 Salminlahti;60.5504758244;26.9960801086;
23573;573;L_vt7_Hamina_Summa;Tie 7 Hamina, Summa;60.5692030344;27.0879475796;
23302;302;L_vt7_Hamina_Lankamalmi;Tie 7 Hamina_Lnkamalmi;60.5719799133;27.129077503;
23303;303;L_vt7_Hamina_Ruissalo;Tie 7 Hamina_Ruissalo;60.5794539889;27.1428301088;
